20121224,166730.5
20121225,135155.75
20121226,109674.51
20121227,104003.11
20121228,167721.23
20121229,244941.33
20121230,218050.71
20121231,175911.36
20130101,210041.26
20130102,92070.926
20130103,281147.53
20130104,298796.21
20130105,384457.01
20130106,208484.48
20130107,143799.12
20130108,246809.24
20130109,231151.75
20130110,231543.61
20130111,127925.94
20130112,231153.65
20130113,146979.63
20130114,175635.04
20130115,230010.42
20130116,141414.78
20130117,210705.71
20130118,342428.18
20130119,309302.94
20130120,293532.4
20130121,163253.37
20130122,193948.95
20130123,334606.3
20130124,383512.25
20130125,292279.61
20130126,342323.37
20130127,273692.65
20130128,226514.27
20130129,287997.48
20130130,316623.44
20130131,291250.27
20130201,301951.05
20130202,276433.58
20130203,204237.35
20130204,300363.63
20130205,321062.15
20130206,83457.685
20130207,293370.23
20130208,214550.48
20130209,496849.15
20130210,363413.1
20130211,283063.36
20130212,322053.22
20130213,395718.17
20130214,297240.23
20130215,277195.82
20130216,197270.8
20130217,189437.12
20130218,195601.59
20130219,194892.62
20130220,132919.78
20130221,203632.8
20130222,399697.67
20130223,287750.56
20130224,267456.26
20130225,138594.82
20130226,272437.78
20130227,275739.73
20130228,296911.13
20130301,300275.04
20130302,281610.29
20130303,317096.82
20130304,248835.08
20130305,365227.16
20130306,87873.024
20130307,256522.84
20130308,266943.49
20130309,341909.19
20130310,280411.79
20130311,305936.16
20130312,288708.88
20130313,389910.54
20130314,314188.93
20130315,344940.79
20130316,339650.15
20130317,333795.8
20130318,211517.41
20130319,296864.33
20130320,112855.26
20130321,299500.41
20130322,332606.32
20130323,290115.82
20130324,276200.57
20130325,274998.15
20130326,294939.13
20130327,208353.37
20130328,231282.16
20130329,213610.09
20130330,217677.09
20130331,70287.243
20130401,5056.563
20130402,37093.146
20130403,113595.46
20130404,290442.37
20130405,196784.22
20130406,196698.91
20130407,160377.43
20130408,303046.27
20130409,212751.59
20130410,218122.51
20130411,255202.42
20130412,288946.95
20130413,120878.19
20130414,74440.394
20130415,168435.81
20130416,200527.56
20130417,158966.07
20130418,209755.37
20130419,197565.94
20130420,95087.844
20130421,8685.22
20130422,5458.72
20130423,48512.786
20130424,132851.26
20130425,144271.79
20130426,203226.01
20130427,136432.83
20130428,199571.43
20130429,211601.56
20130430,215754.99
20130501,203626.7
20130502,231688.19
20130503,115263.83
20130504,340750.13
20130505,232985.49
20130506,163825.32
20130507,374808.41
20130508,246406.7
20130509,286328.6
20130510,234911.41
20130511,195007.22
20130512,238256.07
20130513,211116.38
20130514,253262.12
20130515,163199.55
20130516,254219.55
20130517,196034.5
20130518,180180.97
20130519,206206.9
20130520,265410.45
20130521,210312.81
20130522,202111.22
20130523,208869.37
20130524,189861.91
20130525,245143.15
20130526,275949.9
20130527,146301.74
20130528,206154.6
20130529,187810.07
20130530,246680.46
20130531,199096.35
20130601,224105.78
20130602,293125.85
20130603,218588.19
20130604,287922.39
20130605,50178.39
20130606,24.1
20130607,24581.858
20130608,3652.5621
20130609,28110.086
20130610,23916.776
20130611,90836.152
20130612,108208.57
20130613,241039.23
20130614,263708.36
20130615,101714.29
20130616,217082.5
20130617,207624.1
20130618,196952.84
20130619,120894.63
20130620,115747.19
20130621,166808.47
20130622,444228.08
20130623,270908.53
20130624,273964.82
20130625,131532.88
20130626,406576.94
20130627,169365.92
20130628,224100.28
20130629,280051.47
20130630,176647.95
20130701,215753.12
20130702,50785.958
20130703,52678.266
20130704,307323.78
20130705,140160.93
20130706,229496.63
20130707,222870
20130708,245721.96
20130709,299057.01
20130710,318804.49
20130711,230502.15
20130712,245119.56
20130713,181805.65
20130714,173762.22
20130715,170052.17
20130716,161048.2
20130717,148201.08
20130718,330850.21
20130719,213411.58
20130720,152859.04
20130721,86965.902
20130722,150161.08
20130723,194922.06
20130724,307883.87
20130725,257239.67
20130726,241667.95
20130727,221992.43
20130728,312457.74
20130729,270507.49
20130730,307963.26
20130731,266864.96
20130801,328132.74
20130802,208096.48
20130803,265372.17
20130804,322671.15
20130805,337032.55
20130806,294030.2
20130807,146451.5
20130808,15691.618
20130809,261755.76
20130810,161855.82
20130811,323050.11
20130812,283399.17
20130813,272704.62
20130814,212732.28
20130815,254783.78
20130816,261329.83
20130817,81189.982
20130818,160328.52
20130819,229928.13
20130820,195925.33
20130821,206000.04
20130822,99814.284
20130823,235598.88
20130824,236418.36
20130825,270968.43
20130826,238261.52
20130827,262182.02
20130828,101115.35
20130829,140551.81
20130830,172900.21
20130831,129701.8
20130901,160084.29
20130902,882657.08
20130903,226564.39
20130904,102732.19
20130905,45458.619
20130906,197559
20130907,188634.72
20130908,133802.81
20130909,171765.62
20130910,123912.73
20130911,143021.2
20130912,277487.17
20130913,705831.41
20130914,264502.72
20130915,190842.6
20130916,250453.01
20130917,162252.58
20130918,375467.29
20130919,243539.29
20130920,250320.16
20130921,250229.73
20130922,148546.6
20130923,170527.08
20130924,106149.18
20130925,346597.34
20130926,228451.38
20130927,131882.51
20130928,218796.23
20130929,240928.89
20130930,185549.96
20131001,152348.71
20131002,56604.843
20131003,66294.478
20131004,34136.47
20131005,352469.61
20131006,182723.31
20131007,187779.48
20131008,288866.37
20131009,182675.24
20131010,234750.34
20131011,334049.59
20131012,217733.42
20131013,172805.31
20131014,171361.23
20131015,190812.79
20131016,246295.48
20131017,189273.35
20131018,154270.56
20131019,230080.96
20131020,164241.67
20131021,210374.97
20131022,207440.43
20131023,181324.82
20131024,204144.9
20131025,192777.63
20131026,184521.15
20131027,201916.12
20131028,157303.53
20131029,222392.97
20131030,228474.84
20131031,134661.08
20131101,255385.21
20131102,126540.17
20131103,125906.37
20131104,173661.18
20131105,134292.71
20131106,70868.351
20131107,30215.336
20131108,195106.72
20131109,181220.28
20131110,140460.76
20131111,140787.6
20131112,137659.42
20131113,258181.4
20131114,188081.51
20131115,163520.05
20131116,126082.47
20131117,99142.561
20131118,147958.53
20131119,151382.38
20131120,217925.43
20131121,163971.82
20131122,204673.45
20131123,201310.7
20131124,213980.36
20131125,157807.52
20131126,225112.23
20131127,281472.25
20131128,152596.2
20131129,100838.95
20131130,125797.24
20131201,219331.89
20131202,174287.68
20131203,203697.63
20131204,56474.723
20131205,158494.24
20131206,185917.91
20131207,130356.47
20131208,112775.89
20131209,116454.4
20131210,151739.69
20131211,247077.64
20131212,119909.42
20131213,118612.06
20131214,117083.72
20131215,110279.32
20131216,169466.76
20131217,148463.55
20131218,212034.53
20131219,92012.067
20131220,98685.521
20131221,74585.132
20131222,58011.901
20131223,104077.04
20131224,82676.761
20131225,134786.84
20131226,131028.13
20131227,139592.27
20131228,219236.71
20131229,79361.489
20131230,188178.87
20131231,71238.094
