Date,Temperature,Humidity,CPU
2012-09-02,76,30,339353.32
2012-09-03,74,29,145826.47
2012-09-04,76,15,289299.3
2012-09-05,70,18,219651.53
2012-09-06,74,14,170893.06
2012-09-07,60,57,305737.74
2012-09-08,63,45,239047.31
2012-09-09,68,29,217341.39
2012-09-10,73,22,239451.67
2012-09-11,73,34,265181.28
2012-09-12,55,91,344394.1
2012-09-13,60,60,310095.26
2012-09-14,61,36,288589.96
2012-09-15,67,29,343961.33
2012-09-16,75,13,298522.42
2012-09-17,57,50,310133.46
2012-09-18,61,44,328801.96
2012-09-19,68,22,280079.65
2012-09-20,65,29,303248.36
2012-09-21,64,31,233431.73
2012-09-22,62,34,385397.48
2012-09-23,68,32,247906.11
2012-09-24,69,29,358491.25
2012-09-25,61,52,312639.89
2012-09-26,58,80,340870.83
2012-09-27,54,79,363529.03
2012-09-28,56,64,255508.17
2012-09-29,62,49,277641.42
2012-09-30,63,36,308028.57
2012-10-01,60,44,379090.75
2012-10-02,64,37,312687.73
2012-10-03,62,28,118992.6
2012-10-04,40,59,10148.697
2012-10-05,34,83,99093.221
2012-10-06,34,92,346835.07
2012-10-07,42,56,275671.75
2012-10-08,52,34,245734.67
2012-10-09,46,60,309766.8
2012-10-10,44,75,305067.07
2012-10-11,52,57,333671.34
2012-10-12,49,63,313368.76
2012-10-13,53,56,312670.74
2012-10-15,68,19,295969.28
2012-10-16,62,30,323178.71
2012-10-17,52,16,303965
2012-10-18,47,31,255356.46
2012-10-19,53,29,329259.51
2012-10-20,64,20,262398.49
2012-10-21,58,25,315758.48
2012-10-22,50,56,334261.73
2012-10-23,59,35,408419.89
2012-10-24,41,69,328215.38
2012-10-25,32,93,285167.6
2012-10-26,32,88,386952.39
2012-10-27,38,74,391223.53
2012-10-28,45,67,334112.82
2012-10-29,54,43,330828.57
2012-10-30,56,39,336388.11
2012-10-31,54,40,264599.17
2012-11-01,52,43,337328.66
2012-11-02,50,40,318400.3
2012-11-03,43,64,303780.45
2012-11-04,48,46,351556.58
2012-11-05,50,45,302543.86
2012-11-06,52,41,314844.89
2012-11-07,53,39,211177.28
2012-11-08,48,41,160911.61
2012-11-09,46,64,310092.45
2012-11-10,38,83,317117.12
2012-11-11,26,50,156804.71
2012-11-12,30,45,112098.29
2012-11-13,42,49,361662.52
2012-11-14,40,63,269388.55
2012-11-15,37,74,385116.74
2012-11-16,42,70,219686.56
2012-11-17,48,45,423817.37
2012-11-18,46,40,222759.79
2012-11-19,46,46,354504.2
2012-11-20,50,38,311747.34
2012-11-21,52,25,224195.31
2012-11-22,46,30,321702.01
2012-11-23,36,44,322989.91
2012-11-24,46,26,304364.57
2012-11-25,48,30,319625.11
2012-11-26,30,82,336716.21
2012-11-27,42,38,336994.78
2012-11-28,41,41,341091.22
2012-11-29,48,31,257553.85
2012-11-30,46,43,366715.49
2012-12-01,54,29,267095.25
2012-12-02,48,34,277393.01
2012-12-03,46,18,230372.31
2012-12-04,42,31,287322.74
2012-12-05,53,31,124112.58
2012-12-06,44,57,37814.179
2012-12-07,40,59,262268.37
2012-12-08,36,52,347069.57
2012-12-09,21,37,275037.43
2012-12-10,26,38,349168.47
2012-12-11,30,58,309787.12
2012-12-12,34,42,272495.01
2012-12-13,41,35,351511.34
2012-12-14,37,44,324653.75
2012-12-15,38,53,252267.25
2012-12-16,34,63,306870.2
2012-12-17,40,34,177672.22
2012-12-18,34,64,265126.59
2012-12-19,19,68,59715.579
2012-12-20,30,25,59847.123
2012-12-21,40,30,211489.15
2012-12-22,39,27,24244.579
2012-12-23,38,29,164871.5
2012-12-24,26,64,166730.5
2012-12-25,12,80,135155.75
2012-12-26,14,80,109674.51
2012-12-27,16,83,104003.11
2012-12-28,22,57,167721.23
2012-12-29,21,50,244941.33
2012-12-30,24,45,218050.71
2012-12-31,18,73,175911.36
2013-01-01,23,62,210041.26
2013-01-02,24,41,92070.926
2013-01-03,27,32,281147.53
2013-01-04,32,39,298796.21
2013-01-05,32,43,384457.01
2013-01-06,29,38,208484.48
2013-01-07,40,32,143799.12
2013-01-08,40,34,246809.24
2013-01-09,40,46,231151.75
2013-01-10,31,57,231543.61
2013-01-11,26,59,127925.94
2013-01-12,12,76,231153.65
2013-01-13,9,77,146979.63
2013-01-14,10,67,175635.04
2013-01-15,17,53,230010.42
2013-01-16,40,39,141414.78
2013-01-17,40,49,210705.71
2013-01-18,42,23,342428.18
2013-01-19,46,14,309302.94
2013-01-20,38,38,293532.4
2013-01-21,37,40,163253.37
